Altium Designer Pick and Place Locations
C:\Application\hardware\pca10095\trunk\production_files\400432_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       17.09.19
Time:       08:52
Revision:   17128
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","120.8424","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW6","CAS-220TA","TopLayer","CAS-220TA","88.9400","5.2900","360","Slide Switch DPDT J Hook"
"U7","MX25R6435F","TopLayer","SON127P600X80_HS-9N","116.0602","21.7678","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"U3","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","68.7663","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","61.7474","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","75.7851","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U19","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","30.1188","17.1862","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U9","TS27L2IPT","TopLayer","TSOP65P640X120-8N","24.9428","25.7810","360","Precision very low power CMOS dual operational amplifier"
"C68","100nF","TopLayer","CAPC0603X03L_C","19.1008","8.4074","180","Capacitor, X5R, ±10%"
"C69","100nF","TopLayer","CAPC0603X03L_C","24.1808","12.4206","180","Capacitor, X5R, ±10%"
"SW10","CAS-220TA","TopLayer","CAS-220TA","20.6248","4.0640","180","Slide Switch DPDT J Hook"
"R64","N.C.","TopLayer","RESC1005X04L","16.3320","43.0254","90","Not mounted"
"U16","74LVC1G08","TopLayer","SOT65P210X100-5N","26.4160","14.6050","180","Single 2-Input AND Gate"
"C70","100nF","TopLayer","CAPC0603X03L_C","25.7556","12.8778","180","Capacitor, X5R, ±10%"
"R73","10M","TopLayer","RESC0603X03L_C","25.3492","4.6228","360","Resistor, ±1%, 0.05W"
"D4","MBRM110E","TopLayer","DO-216AA","19.5072","26.0934","270","Diode Schottky Vf=0.455V @ 100mA, Vr=10V, If=1000mA, Ir=1µA @ 10V"
"Q6","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","34.5948","13.9446","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R61","10M","TopLayer","RESC0603X03L_C","33.7820","13.8684","90","Resistor, ±1%, 0.05W"
"R58","1k","TopLayer","RESC0603X03L_C","35.5600","13.9954","90","Resistor, ±1%, 0.05W"
"C64","470nF","TopLayer","CAPC0603X03L_C","15.4178","27.7114","180","Chip Cap 0201"
"C60","10µF","TopLayer","CAPC1608X06L","8.8900","25.3746","270","Capacitor, 0603, 25V, X5R"
"C58","15pF","TopLayer","CAPC0603X03L_C","6.4008","24.8666","270","Chip Cap 0201"
"U10","XC9131","TopLayer","10-USPB_(2.9x2.6)","12.3444","26.2636","180","1A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"R62","30k","TopLayer","RESC0603X03L_C","7.8486","25.6794","270","Resistor, ±1%, 0.05W"
"R59","270k","TopLayer","RESC0603X03L_C","7.1120","24.8412","270","Resistor, ±1%, 0.05W"
"L7","2.2µH","TopLayer","TY-NR3015","16.1036","25.7048","270","Ferrite Inductor, Shielded, 1,5A, 72mOhm"
"C59","10µF","TopLayer","CAPC1608X06L","10.0838","25.3746","270","Capacitor, 0603, 25V, X5R"
"C57","10µF","TopLayer","CAPC1608X06L","12.5984","23.5712","360","Capacitor, 0603, 25V, X5R"
"R44","10k","TopLayer","RESC0603X03L_C","88.9254","10.7950","270","Resistor, ±1%, 0.05W"
